"id","school_id","grade","year","category","tested","mean_score","l1","p1","l2","p2","l3","p3","l4","p4"
4929,"10X003",3.00,2014.00,"Hispanic",14.00,293.64,4.00,28.57,7.00,50.00,3.00,21.42,0.00,0.00
4930,"10X003",4.00,2014.00,"Hispanic",16.00,304.50,3.00,18.75,8.00,50.00,2.00,12.50,3.00,18.75
4931,"10X003",4.00,2014.00,"White",1.00,,,,,,,,,
4932,"10X003",3.00,2015.00,"All Students",28.00,312.67,3.00,10.71,12.00,42.85,7.00,25.00,6.00,21.42
4933,"10X003",4.00,2015.00,"All Students",16.00,307.18,1.00,6.25,11.00,68.75,1.00,6.25,3.00,18.75
4934,"10X003",3.00,2015.00,"Black",10.00,322.00,1.00,10.00,2.00,20.00,3.00,30.00,4.00,40.00
4935,"10X003",4.00,2015.00,"Black",5.00,,,,,,,,,
4936,"10X003",3.00,2015.00,"Hispanic",18.00,307.50,2.00,11.11,10.00,55.55,4.00,22.22,2.00,11.11
4937,"10X003",4.00,2015.00,"Hispanic",11.00,304.90,1.00,9.09,7.00,63.63,1.00,9.09,2.00,18.18
4938,"10X007",3.00,2013.00,"All Students",147.00,312.26,38.00,25.85,40.00,27.21,30.00,20.40,39.00,26.53
4939,"10X007",4.00,2013.00,"All Students",146.00,310.04,29.00,19.86,45.00,30.82,40.00,27.39,32.00,21.91
4940,"10X007",3.00,2013.00,"Asian",14.00,353.50,2.00,14.28,0.00,0.00,1.00,7.14,11.00,78.57
4941,"10X007",4.00,2013.00,"Asian",10.00,327.10,1.00,10.00,4.00,40.00,1.00,10.00,4.00,40.00
4942,"10X007",3.00,2013.00,"Black",5.00,,,,,,,,,
4943,"10X007",4.00,2013.00,"Black",9.00,296.44,4.00,44.44,2.00,22.22,2.00,22.22,1.00,11.11
4944,"10X007",3.00,2013.00,"Hispanic",114.00,305.07,33.00,28.94,34.00,29.82,26.00,22.80,21.00,18.42
4945,"10X007",4.00,2013.00,"Hispanic",115.00,309.06,23.00,20.00,33.00,28.69,36.00,31.30,23.00,20.00
4946,"10X007",3.00,2013.00,"White",9.00,317.66,2.00,22.22,4.00,44.44,0.00,0.00,3.00,33.33
4947,"10X007",4.00,2013.00,"White",8.00,322.37,0.00,0.00,4.00,50.00,1.00,12.50,3.00,37.50
4948,"10X007",3.00,2014.00,"All Students",150.00,314.60,36.00,24.00,39.00,26.00,36.00,24.00,39.00,26.00
4949,"10X007",4.00,2014.00,"All Students",144.00,330.77,11.00,7.63,50.00,34.72,21.00,14.58,62.00,43.05
4950,"10X007",3.00,2014.00,"Asian",7.00,352.14,0.00,0.00,1.00,14.28,1.00,14.28,5.00,71.42
4951,"10X007",4.00,2014.00,"Asian",12.00,360.08,0.00,0.00,3.00,25.00,0.00,0.00,9.00,75.00
4952,"10X007",3.00,2014.00,"Black",12.00,336.25,3.00,25.00,0.00,0.00,2.00,16.66,7.00,58.33
4953,"10X007",4.00,2014.00,"Black",4.00,,,,,,,,,
4954,"10X007",3.00,2014.00,"Hispanic",106.00,306.25,30.00,28.30,33.00,31.13,25.00,23.58,18.00,16.98
4955,"10X007",4.00,2014.00,"Hispanic",114.00,326.89,9.00,7.89,44.00,38.59,16.00,14.03,45.00,39.47
4956,"10X007",3.00,2014.00,"White",19.00,324.36,3.00,15.78,3.00,15.78,7.00,36.84,6.00,31.57
4957,"10X007",4.00,2014.00,"White",9.00,334.11,1.00,11.11,3.00,33.33,0.00,0.00,5.00,55.55
4958,"10X007",3.00,2015.00,"All Students",162.00,305.45,49.00,30.24,49.00,30.24,30.00,18.51,34.00,20.98
4959,"10X007",4.00,2015.00,"All Students",157.00,313.00,27.00,17.19,48.00,30.57,42.00,26.75,40.00,25.47
4960,"10X007",3.00,2015.00,"Asian",11.00,371.36,0.00,0.00,0.00,0.00,2.00,18.18,9.00,81.81
4961,"10X007",4.00,2015.00,"Asian",6.00,363.66,0.00,0.00,1.00,16.66,0.00,0.00,5.00,83.33
4962,"10X007",3.00,2015.00,"Black",10.00,347.70,0.00,0.00,1.00,10.00,2.00,20.00,7.00,70.00
4963,"10X007",4.00,2015.00,"Black",12.00,334.25,1.00,8.33,1.00,8.33,3.00,25.00,7.00,58.33
4964,"10X007",3.00,2015.00,"Hispanic",124.00,293.88,48.00,38.70,41.00,33.06,22.00,17.74,13.00,10.48
4965,"10X007",4.00,2015.00,"Hispanic",113.00,304.35,25.00,22.12,38.00,33.62,32.00,28.31,18.00,15.92
4966,"10X007",3.00,2015.00,"White",13.00,323.92,1.00,7.69,5.00,38.46,3.00,23.07,4.00,30.76
4967,"10X007",4.00,2015.00,"White",21.00,328.28,1.00,4.76,7.00,33.33,6.00,28.57,7.00,33.33
4968,"10X008",3.00,2013.00,"All Students",186.00,296.80,51.00,27.41,82.00,44.08,42.00,22.58,11.00,5.91
4969,"10X008",4.00,2013.00,"All Students",221.00,294.82,68.00,30.76,89.00,40.27,49.00,22.17,15.00,6.78
4970,"10X008",3.00,2013.00,"Asian",12.00,311.75,2.00,16.66,5.00,41.66,3.00,25.00,2.00,16.66
4971,"10X008",4.00,2013.00,"Asian",15.00,303.60,4.00,26.66,4.00,26.66,6.00,40.00,1.00,6.66
4972,"10X008",3.00,2013.00,"Black",22.00,297.40,6.00,27.27,9.00,40.90,6.00,27.27,1.00,4.54
4973,"10X008",4.00,2013.00,"Black",18.00,297.83,6.00,33.33,7.00,38.88,3.00,16.66,2.00,11.11
4974,"10X008",3.00,2013.00,"Hispanic",141.00,294.98,41.00,29.07,64.00,45.39,28.00,19.85,8.00,5.67
4975,"10X008",4.00,2013.00,"Hispanic",167.00,292.70,56.00,33.53,65.00,38.92,36.00,21.55,10.00,5.98
4976,"10X008",3.00,2013.00,"White",10.00,299.80,2.00,20.00,4.00,40.00,4.00,40.00,0.00,0.00
4977,"10X008",4.00,2013.00,"White",20.00,303.40,2.00,10.00,12.00,60.00,4.00,20.00,2.00,10.00
4978,"10X008",3.00,2014.00,"All Students",154.00,292.20,54.00,35.06,62.00,40.25,30.00,19.48,8.00,5.19
